"","method","setting","group coverage for x_1 = 0","group coverage for x_1 = 1","Marginal coverage","lower bound mean for x_1 = 0","lower bound mean for x_1 = 1","lower bound values mean","computation time"
1,"CAMS","heavy_prot_cens",0.889747995418098,0.973474801061008,0.915,4.62197977265198,3.34602175562559,4.23715083471682,0.638000000000005
2,"DFT-adaptive-T (Subgroup)","heavy_prot_cens",0.887457044673539,0.856763925729443,0.8782,4.53731815848617,5.76776851520454,4.90842198607243,72.9069999999992
3,"DFT-adaptive-CT (Subgroup)","heavy_prot_cens",0.887457044673539,0.878647214854111,0.8848,4.53731815848617,3.02886472253312,4.08236860220273,82.6470000000008
4,"DFT-fixed (Subgroup)","heavy_prot_cens",0.917239404352806,0.964190981432361,0.9314,4.1688252061313,2.69844879903173,3.72535968175007,62.1540000000005
5,"Vanilla CQR (Subgroup)","heavy_prot_cens",0.892898052691867,0.996021220159151,0.924,4.48306424611096,1.06048688682535,3.45081491455042,0.00800000000162981
6,"Cox (Subgroup)","heavy_prot_cens",0.920389461626575,0.902519893899204,0.915,3.97698250971761,4.16887305125808,4.03485669704622,11.6129999999994
7,"DFT-adaptive-T (Joint)","heavy_prot_cens",0.889747995418098,0.893236074270557,0.8908,4.61748192749987,4.61543550281919,4.61686472581618,122.029
8,"DFT-adaptive-CT (Joint)","heavy_prot_cens",0.881156930126002,0.931697612732096,0.8964,4.6947753956967,3.07341892582383,4.20577428438304,134.798000000001
9,"DFT-fixed (Joint)","heavy_prot_cens",0.887457044673539,0.891909814323607,0.8888,4.52810295779537,4.50401563645768,4.52083822167992,116.339999999998
10,"Vanilla CQR (Joint)","heavy_prot_cens",0.904639175257732,1,0.9334,3.9403939718181,-0.226147369269802,2.68376510334599,0.00400000000081491
11,"Cox (Joint)","heavy_prot_cens",0.919243986254295,0.940318302387268,0.9256,4.01694757832047,3.7157337112544,3.92610147601334,6.54600000000028
