"","method","setting","group coverage for x_1 = 0","group coverage for x_1 = 1","Marginal coverage","lower bound mean for x_1 = 0","lower bound mean for x_1 = 1","lower bound values mean","computation time"
1,"CAMS","cens_misspec",0.880720823798627,0.86968085106383,0.8774,4.93957548813222,3.12590486660379,4.39402336517647,1.033
2,"DFT-adaptive-T (Subgroup)","cens_misspec",0.887299771167048,0.782579787234043,0.8558,4.71343786085515,3.68699843382099,4.40468488120328,110.733
3,"DFT-adaptive-CT (Subgroup)","cens_misspec",0.887299771167048,0.782579787234043,0.8558,4.71343786085515,3.68699843382099,4.40468488120328,122.543000000001
4,"DFT-fixed (Subgroup)","cens_misspec",0.907322654462243,0.0851063829787234,0.66,4.2951543135627,12.6867893750479,6.81935814005746,98.9809999999998
5,"Vanilla CQR (Subgroup)","cens_misspec",0.916762013729977,0.894281914893617,0.91,4.13369443785441,2.54862033033263,3.65690414631186,0.0140000000001237
6,"Cox (Subgroup)","cens_misspec",0.921910755148741,0.925531914893617,0.923,3.7951890484035,2.29096370576261,3.34271806533712,11.0570000000007
7,"DFT-adaptive-T (Joint)","cens_misspec",0.0294622425629291,0.0252659574468085,0.0282,23.0171770752277,14.3534317904982,20.4111224935811,295.554
8,"DFT-adaptive-CT (Joint)","cens_misspec",0.0294622425629291,0.0252659574468085,0.0282,23.0171770752277,14.3534317904982,20.4111224935811,309.564
9,"DFT-fixed (Joint)","cens_misspec",0.792048054919908,0.678191489361702,0.7578,4.58021475090538,3.68527971526695,4.31101829218534,292.665
10,"Vanilla CQR (Joint)","cens_misspec",0.892162471395881,0.949468085106383,0.9094,4.40959153132705,2.03499752608872,3.69531365455136,0.00600000000031287
11,"Cox (Joint)","cens_misspec",0.936784897025172,0.89561170212766,0.9244,3.6587534117971,2.46649626907454,3.30012246326615,6.29500000000007
