"","method","setting","group coverage for x_1 = 0","group coverage for x_1 = 1","Marginal coverage","lower bound mean for x_1 = 0","lower bound mean for x_1 = 1","lower bound values mean","computation time"
1,"CAMS","homo_cens",0.93220823798627,0.923537234042553,0.9296,3.97245968070086,2.67611378010171,3.58251883380064,0.59
2,"DFT-adaptive-T (Subgroup)","homo_cens",0.8941647597254,0.886303191489362,0.8918,4.4266219367997,2.98747403895411,3.99372624912774,93.9650000000001
3,"DFT-adaptive-CT (Subgroup)","homo_cens",0.8941647597254,0.886303191489362,0.8918,4.4266219367997,2.98747403895411,3.99372624912774,110.013000000001
4,"DFT-fixed (Subgroup)","homo_cens",0.895308924485126,0.934840425531915,0.9072,4.24477238217848,2.42115205601269,3.69622738806781,83.7850000000003
5,"Vanilla CQR (Subgroup)","homo_cens",0.904462242562929,0.928191489361702,0.9116,4.27530671725026,2.6008466229271,3.77162912087785,0.00999999999976353
6,"Cox (Subgroup)","homo_cens",0.928775743707094,0.944813829787234,0.9336,3.67563224128481,2.28798993177448,3.2582294345841,10.4850000000001
7,"DFT-adaptive-T (Joint)","homo_cens",0.909610983981693,0.920877659574468,0.913,4.30054753563365,2.71887600417877,3.82478073897202,231.385
8,"DFT-adaptive-CT (Joint)","homo_cens",0.909610983981693,0.920877659574468,0.913,4.30054753563365,2.71887600417877,3.82478073897202,248.667
9,"DFT-fixed (Joint)","homo_cens",0.914473684210526,0.892952127659574,0.908,4.04505747389212,2.79919907065835,3.6703032661994,226.374
10,"Vanilla CQR (Joint)","homo_cens",0.90045766590389,0.89561170212766,0.899,4.25562342641493,2.81874533887808,3.82341049768384,0.00599999999985812
11,"Cox (Joint)","homo_cens",0.94279176201373,0.928191489361702,0.9384,3.56872942955849,2.44612828645661,3.23105100571344,6.23300000000017
