"","method","setting","group coverage for x_1 = 0","group coverage for x_1 = 1","Marginal coverage","lower bound mean for x_1 = 0","lower bound mean for x_1 = 1","lower bound values mean","computation time"
1,"CAMS","heavy_inter_cens",0.914302258251303,0.929495472186287,0.919,4.37611122982077,4.29194765029185,4.35008785103043,0.47999999999999
2,"DFT-adaptive-T (Subgroup)","heavy_inter_cens",0.901563404748118,0.88745148771022,0.8972,4.49141921449739,5.22452719977296,4.71809620354459,109.620000000001
3,"DFT-adaptive-CT (Subgroup)","heavy_inter_cens",0.901563404748118,0.954075032341527,0.9178,4.49141921449739,2.81785730173757,3.97395387107205,128.482999999999
4,"DFT-fixed (Subgroup)","heavy_inter_cens",0.911986103068906,0.897800776196636,0.9076,4.24722757498874,4.92022001559188,4.45531683762323,103.991
5,"Vanilla CQR (Subgroup)","heavy_inter_cens",0.897220613781123,0.985769728331177,0.9246,4.57570963975593,1.40755337006885,3.59611572116868,0.0100000000002183
6,"Cox (Subgroup)","heavy_inter_cens",0.93341053850608,0.951487710219922,0.939,3.79054354198793,3.91273681853525,3.82832570309636,7.02400000000034
7,"DFT-adaptive-T (Joint)","heavy_inter_cens",0.906774753908512,0.908796895213454,0.9074,4.58334444561711,4.6625205719301,4.60782570387308,173.088999999999
8,"DFT-adaptive-CT (Joint)","heavy_inter_cens",0.906774753908512,0.942432082794308,0.9178,4.58334444561711,3.40559323050484,4.21918376990439,191.147
9,"DFT-fixed (Joint)","heavy_inter_cens",0.914591777649102,0.939197930142303,0.9222,4.20778973663731,4.00380962768144,4.14471908694815,168.962999999999
10,"Vanilla CQR (Joint)","heavy_inter_cens",0.88361320208454,1,0.9196,4.22676063417753,-0.370898515219182,2.80516442518407,0.00600000000031287
11,"Cox (Joint)","heavy_inter_cens",0.937174290677475,0.956662354463131,0.9432,3.72997543710705,3.57185489724904,3.68108456618295,4.40300000000025
