"","method","setting","group coverage for x_1 = 0","group coverage for x_1 = 1","Marginal coverage","lower bound mean for x_1 = 0","lower bound mean for x_1 = 1","lower bound values mean","computation time"
1,"CAMS","prot_cens",0.918181818181818,0.950675675675676,0.9278,4.29923902860543,2.19672255277105,3.67689415175845,0.451999999999998
2,"DFT-adaptive-T (Subgroup)","prot_cens",0.894318181818182,0.926351351351351,0.9038,4.69661317193102,2.58216533968632,4.07073661358659,81.223
3,"DFT-adaptive-CT (Subgroup)","prot_cens",0.894318181818182,0.926351351351351,0.9038,4.69661317193102,2.58216006549919,4.0707350524272,102.933
4,"DFT-fixed (Subgroup)","prot_cens",0.877840909090909,0.920945945945946,0.8906,4.65502416983751,2.56321430980709,4.03584845126851,72.3139999999994
5,"Vanilla CQR (Subgroup)","prot_cens",0.91875,0.959459459459459,0.9308,4.23288528687091,1.75670010992075,3.49993447449366,0.00900000000001455
6,"Cox (Subgroup)","prot_cens",0.921306818181818,0.918243243243243,0.9204,3.92092478340041,2.51065150796187,3.5034838938706,7.39300000000003
7,"DFT-adaptive-T (Joint)","prot_cens",0.916761363636364,0.899324324324324,0.9116,4.40679904623095,2.77465396066913,3.92368410090465,214.661
8,"DFT-adaptive-CT (Joint)","prot_cens",0.916761363636364,0.899324324324324,0.9116,4.40677612581394,2.77463952928136,3.9236636932403,239.168000000001
9,"DFT-fixed (Joint)","prot_cens",0.880113636363636,0.829054054054054,0.865,4.54846597505791,2.97972735138711,4.08411934245136,210.025000000001
10,"Vanilla CQR (Joint)","prot_cens",0.905397727272727,0.985135135135135,0.929,3.94027474162009,1.49894194119064,3.21764023269297,0.0069999999996071
11,"Cox (Joint)","prot_cens",0.9375,0.905405405405405,0.928,3.88032014518935,2.50896732117704,3.47439970928171,4.78000000000065
