"","method","setting","group coverage for x_1 = 0","group coverage for x_1 = 1","Marginal coverage","lower bound mean for x_1 = 0","lower bound mean for x_1 = 1","lower bound values mean","computation time"
1,"CAMS","cov_cens",0.921412300683371,0.866263440860215,0.905,4.43030106819996,3.03354150586392,4.01462542244875,0.475999999999999
2,"DFT-adaptive-T (Subgroup)","cov_cens",0.899202733485194,0.827956989247312,0.878,4.6710291508119,3.35472792254108,4.27929790527851,66.2770000000037
3,"DFT-adaptive-CT (Subgroup)","cov_cens",0.899202733485194,0.827956989247312,0.878,4.6710291508119,3.354711120901,4.27929290511042,89.5760000000009
4,"DFT-fixed (Subgroup)","cov_cens",0.890945330296128,0.879032258064516,0.8874,4.75910144001282,2.94231790065017,4.21842665869849,59.0830000000024
5,"Vanilla CQR (Subgroup)","cov_cens",0.921127562642369,0.872311827956989,0.9066,4.28369160166957,2.92624643623079,3.87971592043499,0.0069999999996071
6,"Cox (Subgroup)","cov_cens",0.919419134396355,0.884408602150538,0.909,4.20520275886098,2.74862080980511,3.77172397082195,10.6369999999988
7,"DFT-adaptive-T (Joint)","cov_cens",0.892938496583144,0.855510752688172,0.8818,4.80841651594709,3.11558227995014,4.3046290473144,106.784
8,"DFT-adaptive-CT (Joint)","cov_cens",0.893507972665148,0.856182795698925,0.8824,4.80124917941364,3.11093825075176,4.29821264704386,129.647999999997
9,"DFT-fixed (Joint)","cov_cens",0.891514806378132,0.833333333333333,0.8742,4.54308519193905,3.0805502885459,4.10783480468925,102.23
10,"Vanilla CQR (Joint)","cov_cens",0.933940774487471,0.835349462365591,0.9046,4.05376742615627,3.13531800799985,3.78043687931292,0.00599999999940337
11,"Cox (Joint)","cov_cens",0.92995444191344,0.872983870967742,0.913,4.10914698443758,2.80669629690939,3.72153765982919,6.24099999999999
