"","method","setting","group coverage for x_1 = 0","group coverage for x_1 = 1","Marginal coverage","lower bound mean for x_1 = 0","lower bound mean for x_1 = 1","lower bound values mean","computation time"
1,"CAMS","surv_misspec",0.964662296950698,0.967806841046278,0.9656,4.22327861982314,2.62570471565931,3.74688208160148,1.173
2,"DFT-adaptive-T (Subgroup)","surv_misspec",0.921060131091479,0.919517102615694,0.9206,5.2560300754005,6.53159787226408,5.63640439242522,110.562000000002
3,"DFT-adaptive-CT (Subgroup)","surv_misspec",0.921060131091479,0.920858484238766,0.921,5.2517414452415,6.34557967961919,5.57792400673293,127.166000000001
4,"DFT-fixed (Subgroup)","surv_misspec",0.943858649187803,0.943661971830986,0.9438,4.81151273899956,5.11118077127364,4.90087374622369,101.635999999999
5,"Vanilla CQR (Subgroup)","surv_misspec",0.945568538045027,0.949027498323273,0.9466,4.64137754348488,3.75181176519724,4.3761090283995,0.00800000000162981
6,"Cox (Subgroup)","surv_misspec",0.918780279281847,0.933601609657948,0.9232,5.34822717061513,5.72633738208638,5.46097963567586,11.1229999999978
7,"DFT-adaptive-T (Joint)","surv_misspec",0.908520946138501,0.898054996646546,0.9054,5.42285940659193,4.28998765277676,5.08503704960425,232.645
8,"DFT-adaptive-CT (Joint)","surv_misspec",0.908520946138501,0.898054996646546,0.9054,5.4228646037679,4.28999176422777,5.08504192301703,249.170000000001
9,"DFT-fixed (Joint)","surv_misspec",0.939868908520946,0.879946344735077,0.922,4.83088208147447,4.43951572744404,4.71417663470259,223.901
10,"Vanilla CQR (Joint)","surv_misspec",0.950983186092904,0.917505030181087,0.941,4.49400870818574,3.39336116268186,4.16579561011649,0.00599999999940337
11,"Cox (Joint)","surv_misspec",0.937019093758906,0.868544600938967,0.9166,4.86983311768963,4.46017985474604,4.74767451467985,5.61700000000019
