"","method","setting","group coverage for x_1 = 0","group coverage for x_1 = 1","Marginal coverage","lower bound mean for x_1 = 0","lower bound mean for x_1 = 1","lower bound values mean","computation time"
1,"CAMS","simul_misspec",0.916619398752127,0.940976933514247,0.9238,4.52729230060694,3.62091521475634,4.26009233569819,0.843999999999994
2,"DFT-adaptive-T (Subgroup)","simul_misspec",0.911798071469087,0.896200814111262,0.9072,4.63670289702002,5.66079285031452,4.93860461525124,150.024999999998
3,"DFT-adaptive-CT (Subgroup)","simul_misspec",0.911798071469087,0.896200814111262,0.9072,4.63670289702002,5.65904803634876,4.93809024409413,178.012999999999
4,"DFT-fixed (Subgroup)","simul_misspec",0.924844015882019,0.993215739484396,0.945,4.39632737208548,1.59622680075048,3.57085772365592,140.388999999996
5,"Vanilla CQR (Subgroup)","simul_misspec",0.900737379466818,0.953867028493894,0.9164,4.81672534267652,3.27962510779964,4.36358819343482,0.0129999999990105
6,"Cox (Subgroup)","simul_misspec",0.904707884288145,0.913839891451832,0.9074,4.77523556353184,4.6622025510074,4.74191343143963,10.9860000000008
7,"DFT-adaptive-T (Joint)","simul_misspec",0.909812819058423,0.917232021709634,0.912,4.68423793813963,4.26955584649362,4.56198965752238,376.944
8,"DFT-adaptive-CT (Joint)","simul_misspec",0.909812819058423,0.917232021709634,0.912,4.68423793813963,4.26955584649362,4.56198965752238,401.450000000004
9,"DFT-fixed (Joint)","simul_misspec",0.926545660805445,0.922659430122117,0.9254,4.32176440569763,4.11221917960752,4.25999047304627,374.441999999999
10,"Vanilla CQR (Joint)","simul_misspec",0.910947249007374,0.94708276797829,0.9216,4.65656197378603,3.50385771978979,4.31674475970794,0.00800000000162981
11,"Cox (Joint)","simul_misspec",0.912365286443562,0.896200814111262,0.9076,4.68832443393713,4.54704463775772,4.64667515002344,7.34000000000015
